feature,importance
cat__cross_street_name_641       EAST 103 STREET,0.0006527125931107622
cat__on_street_name_BRUCKNER BOULEVARD              ,0.0006525148754315163
cat__zip_code_10462,0.0006486681832897072
cat__off_street_name_WEST 238 STREET,0.0006469769301541476
cat__contributing_factor_vehicle_1_Tow Hitch Defective,0.0006440879100843662
cat__on_street_name_MADISON AVENUE                  ,0.0006433546095249036
cat__cross_street_name_29-76     NORTHERN BOULEVARD,0.0006424247309529895
cat__on_street_name_GRAND CONCOURSE                 ,0.0006410857525902229
cat__on_street_name_AUDUBON AVENUE,0.0006407106212230542
cat__on_street_name_KINGS HIGHWAY                   ,0.0006381453627887819
cat__zip_code_10463,0.0006350990038930731
cat__on_street_name_YELLOWSTONE BOULEVARD           ,0.0006332589552607565
cat__zip_code_10019,0.0006318843751844017
cat__zip_code_11221,0.0006299413187837841
cat__zip_code_11212,0.0006289637989686238
cat__zip_code_10469,0.0006244711356217753
cat__zip_code_10027,0.0006208221353628189
cat__contributing_factor_vehicle_1_Outside Car Distraction,0.0006207520307903266
cat__zip_code_10451,0.0006202749687814253
cat__on_street_name_VAN WYCK EXPWY                  ,0.000618646830529713
cat__zip_code_11211,0.0006158208673894711
cat__on_street_name_VAN CORTLANDT AVENUE EAST       ,0.0006050814335923714
cat__zip_code_11201,0.0006047735865403654
cat__on_street_name_FLATBUSH AVENUE,0.0005991968212000843
cat__off_street_name_WEST 23 STREET,0.000596817067952055
cat__zip_code_11208,0.0005965814603147387
cat__on_street_name_LEFFERTS BLVD,0.0005959982604253463
cat__zip_code_11373,0.00058701186001376
cat__zip_code_11385,0.0005852508666394193
cat__contributing_factor_vehicle_2_Physical Disability,0.0005811851436902572
cat__on_street_name_MAJOR DEEGAN EXPRESSWAY         ,0.000580009627305477
cat__off_street_name_WEST 179 STREET,0.0005768814879060978
cat__zip_code_10468,0.0005744420813218299
cat__zip_code_11228,0.0005737670247585708
cat__contributing_factor_vehicle_2_Passing or Lane Usage Improper,0.0005733144436797424
cat__cross_street_name_3159      FLATBUSH AVENUE               ,0.0005705651967845536
cat__on_street_name_SAINT NICHOLAS AVENUE           ,0.0005670114936387672
cat__off_street_name_EAST 5 STREET,0.0005660540699807481
cat__contributing_factor_vehicle_2_Traffic Control Disregarded,0.0005635825210096273
cat__off_street_name_115 AVE,0.0005631676855943033
cat__zip_code_11433,0.0005566295549737773
cat__off_street_name_E 72 ST,0.0005542988869530739
cat__on_street_name_GIVAN AVENUE,0.0005536224157158928
cat__off_street_name_158 ST,0.0005535316590948808
cat__off_street_name_5 AVENUE,0.000553459035248329
cat__on_street_name_7 AVENUE                        ,0.0005532151908539817
cat__off_street_name_JOLINE LANE,0.0005513360088476273
cat__on_street_name_JOLINE AVENUE,0.0005478736468684174
cat__off_street_name_10 STREET,0.0005474628080984109
cat__contributing_factor_vehicle_1_Brakes Defective,0.0005422895727514887
cat__zip_code_10306,0.0005378237237102617
cat__on_street_name_CROSS ISLAND PARKWAY            ,0.0005360577126100049
cat__on_street_name_UTOPIA PARKWAY,0.0005353053580205386
cat__on_street_name_GERRITSEN AVENUE,0.0005345281218795899
cat__zip_code_10455,0.000534355200492236
cat__off_street_name_BARING PLACE,0.0005300936692912547
cat__on_street_name_WOODYCREST AVENUE               ,0.0005293678612160971
cat__off_street_name_FLORENCE AVENUE,0.0005287310409986703
cat__zip_code_10021,0.000528133831591856
cat__zip_code_11374,0.0005279397092117408
cat__off_street_name_GRANT STREET,0.0005208065192240817
cat__on_street_name_AVENUE U                        ,0.0005185899043593276
cat__on_street_name_NEW DORP LANE,0.0005172760477387613
cat__zip_code_11230,0.0005112660614304058
cat__cross_street_name_3151      WESTCHESTER AVENUE,0.0005102825740560856
cat__on_street_name_CHURCH AVENUE                   ,0.0005088980902073289
cat__zip_code_10461,0.0005062849980504731
cat__zip_code_11368,0.0005014737212477787
cat__zip_code_10016,0.0004978504071324277
cat__off_street_name_EAST 198 STREET                 ,0.0004942345547714476
cat__zip_code_11210,0.0004934423401969958
cat__off_street_name_EAST 102 STREET                 ,0.000490251914111188
cat__off_street_name_PECK AVENUE,0.0004901156458487177
cat__zip_code_10458,0.0004885148025605145
cat__on_street_name_HYLAN BOULEVARD,0.00048781289720976716
cat__zip_code_11220,0.00048409432409846423
cat__zip_code_10022,0.00048289095816096374
cat__zip_code_10033,0.0004824375632037047
cat__on_street_name_BRUCKNER EXPRESSWAY             ,0.00047797747446895087
cat__on_street_name_BRONX RIVER PARKWAY             ,0.00047572097103333236
cat__contributing_factor_vehicle_1_Prescription Medication,0.00047374204216643726
cat__off_street_name_NELSON AVENUE,0.00047034903803013455
cat__off_street_name_WEST 129 STREET                 ,0.0004669726295031086
cat__cross_street_name_35-32     21 STREET                     ,0.0004656776847683808
cat__on_street_name_EDGEWATER ROAD                  ,0.00046439889726745194
cat__zip_code_11223,0.00046230691707066615
cat__zip_code_11365,0.000462206666328823
cat__on_street_name_5 AVENUE                        ,0.00046179317355408316
cat__on_street_name_BEDFORD AVENUE                  ,0.00045726545918812117
cat__off_street_name_FORT WASHINGTON AVENUE,0.0004563266144545816
cat__cross_street_name_517       LORIMER ST,0.00045411050480783635
cat__cross_street_name_653       BRUCKNER BOULEVARD,0.00045323552981484794
cat__zip_code_11432,0.00045082281156358974
cat__zip_code_10305,0.0004439085523854579
cat__zip_code_10452,0.0004436508644745896
cat__zip_code_10307,0.00044045354833901736
cat__contributing_factor_vehicle_2_Obstruction/Debris,0.00043813013710206983
cat__off_street_name_WEST 166 STREET                 ,0.00043269782846813514
cat__zip_code_11354,0.0004303485450412729
cat__on_street_name_BAY STREET                      ,0.0004251910810500837
cat__on_street_name_WEST 161 STREET,0.0004239662092303626
cat__on_street_name_ROCKAWAY BOULEVARD              ,0.000420629429139474
cat__contributing_factor_vehicle_1_Steering Failure,0.00041064921788951526
cat__zip_code_11216,0.00040965350294830215
cat__contributing_factor_vehicle_2_Passing Too Closely,0.0004052684000972052
cat__on_street_name_MAJOR DEEGAN EXPRESSWAY,0.00040500128300452346
cat__off_street_name_BRUCKNER BOULEVARD              ,0.00040199726210871973
cat__zip_code_11238,0.00039997017330316775
cat__zip_code_10032,0.00039766007568550055
cat__zip_code_11215,0.00039311803964341347
cat__on_street_name_UTICA AVENUE                    ,0.0003917254613051791
cat__zip_code_11435,0.00039103640574431384
cat__contributing_factor_vehicle_2_Unsafe Lane Changing,0.000390743293748581
cat__zip_code_10304,0.00038775897334308244
cat__on_street_name_75 STREET,0.0003855844984607207
cat__on_street_name_BRUCKNER EXPRESSWAY,0.00038237674365190213
cat__zip_code_10467,0.00037984426136023375
cat__zip_code_10011,0.00037977348610477495
cat__on_street_name_LIBERTY AVENUE                  ,0.0003785341970578631
cat__off_street_name_EAST 21 STREET,0.0003758827109594446
cat__off_street_name_3 AVENUE,0.0003756618181536114
cat__on_street_name_JAMAICA AVENUE                  ,0.0003752997365820238
cat__off_street_name_3 AVENUE                        ,0.00037005809187472456
cat__off_street_name_165 AVENUE,0.0003698396169025516
cat__contributing_factor_vehicle_2_Fatigued/Drowsy,0.00036871227604963713
cat__zip_code_11355,0.00036600797205443175
cat__zip_code_10035,0.0003652348113217154
cat__zip_code_10018,0.0003590678833892429
cat__zip_code_10017,0.00035873130222443465
cat__on_street_name_8 AVENUE                        ,0.0003562072821069195
cat__zip_code_11237,0.00035619381379746267
cat__on_street_name_EASTERN PARKWAY                 ,0.0003535949558945281
cat__on_street_name_1 AVENUE                        ,0.00035333116415395467
cat__zip_code_10456,0.0003531502821142763
cat__zip_code_11414,0.0003527925724289305
cat__zip_code_10466,0.00034961476048334626
